id;estado;data;motivo_alteracao_documento;origem_documento;hash;hash_control;venda_id
1;Steel hierarchy;2019-12-11T13:47:03;Incredible;connecting Metrics lavender;Via green;Gorgeous;1
2;pixel;2019-12-12T03:37:19;compelling;Unions Bedfordshire;Health;invoice;2
3;invoice logistical Salad;2019-12-12T03:06:37;Soft Brand auxiliary;fuchsia deposit;interface SCSI;Legacy Product;3
4;open architecture;2019-12-12T07:36:12;channels;Sausages seamless applications;bypassing Fish Borders;national;4
5;Paradigm Rubber;2019-12-11T16:33:35;deposit Colorado;Guatemala Lead;lime Baby;Security transmitting;5
6;Norfolk Island Bond Markets Units European Composite Unit (EURCO);2019-12-12T00:18:44;Kentucky Solutions;compressing;primary Awesome Practical;Wooden Planner;6
7;Business-focused;2019-12-11T12:40:34;1080p Kwanza;invoice Cyprus;CSS;Pennsylvania knowledge base Functionality;7
8;methodologies open-source Industrial;2019-12-11T15:24:13;Future-proofed Steel;Small Metal Hat;white Orchestrator;Customer-focused Ohio;8
9;Internal transmit;2019-12-12T08:20:17;National cross-platform;auxiliary;Hawaii;Refined;9
10;interactive Internal;2019-12-11T20:35:47;Shirt;multi-byte;navigate online disintermediate;Solutions;10
