id;descricao;codigo;tipo;grau;natureza;grupo;conteudo;classe_conta_id
1;mobile Fish;Home Loan Account Table Computer;Trace;33371;Metal deposit;Producer;../fake-data/blob/hipster.txt;1
2;Implementation Electronics Officer;methodology Albania;Home Namibia;39986;Gorgeous Frozen Pants;Common;../fake-data/blob/hipster.txt;2
3;Savings Account syndicate Planner;Refined Rubber Chicken Table;Automotive;94220;South Dakota envisioneer Music;Nakfa;../fake-data/blob/hipster.txt;3
4;Bahamian Dollar Investment Account;Games Regional Digitized;copy convergence;20794;Georgia Industrial;connect Markets Chief;../fake-data/blob/hipster.txt;4
5;capacitor archive;sky blue Tasty Plastic Pizza;compress South Georgia and the South Sandwich Islands;58675;Specialist Home Loan Account;Plastic;../fake-data/blob/hipster.txt;5
6;Car Industrial deliverables;orange Books;magenta monitor 1080p;60596;Identity;Frozen IB;../fake-data/blob/hipster.txt;6
7;Highway Ergonomic;moratorium moratorium;New York tangible Mississippi;38293;Developer;synthesize Idaho compress;../fake-data/blob/hipster.txt;7
8;Sleek Metal Table Small;Intelligent Outdoors;Harbor Montana;69551;Concrete Investment Account Saint Lucia;User-centric;../fake-data/blob/hipster.txt;8
9;Money Market Account;Salad Web virtual;Refined Squares;21844;e-business;Ghana back-end National;../fake-data/blob/hipster.txt;9
10;Direct;Profit-focused;Jewelery cutting-edge;30478;Hat;supply-chains magenta;../fake-data/blob/hipster.txt;10
