id;tipo_subscricao;inicio;fim;data;valor;codigo;numero_usuario;numero_empresa;empresa_id
1;Brazil;2019-12-11T21:20:46;2019-12-11T23:06:48;2019-12-12T01:37:42;20633;innovative Bedfordshire Lempira;3932;9229;1
2;Plaza Bulgarian Lev Cambridgeshire;2019-12-12T06:24:17;2019-12-11T12:04:17;2019-12-12T01:07:02;6107;systemic;80620;8452;2
3;Savings Account Manager Guyana;2019-12-11T11:59:43;2019-12-11T22:32:37;2019-12-12T04:30:19;61825;back-end Roads bypass;3669;14774;3
4;Metal;2019-12-11T17:40:49;2019-12-11T12:41:14;2019-12-11T13:54:20;51167;Antarctica (the territory South of 60 deg S) Refined Inlet;53262;39716;4
5;Gorgeous;2019-12-11T16:28:28;2019-12-12T01:07:02;2019-12-12T05:47:50;2007;software blue;32750;53534;5
6;Total;2019-12-12T01:56:31;2019-12-11T19:55:34;2019-12-11T22:47:49;67910;bluetooth Berkshire;8692;58420;6
7;pixel Pennsylvania;2019-12-11T20:05:43;2019-12-11T23:48:44;2019-12-11T20:37:31;12758;encompassing customized;64592;60755;7
8;Grass-roots Cambridgeshire;2019-12-12T02:14:38;2019-12-11T19:38:01;2019-12-11T11:45:49;23722;Intelligent;15286;36536;8
9;Avon;2019-12-11T13:45:10;2019-12-12T05:41:40;2019-12-12T08:03:46;28509;Car Internal Small;52451;1825;9
10;Rand Namibia Dollar Executive;2019-12-11T12:39:13;2019-12-12T00:37:25;2019-12-11T20:20:54;96947;TCP parsing Networked;17089;72289;10
