id;pais;provincia;municipio;bairro;rua;quarteirao;numero_porta;caixa_postal;empresa_id
1;Legacy hacking;Cambridgeshire;hacking withdrawal;Sleek Steel Hat;Versatile;San Marino;Cotton Mon;solutions Refined deposit;1
2;Kids;withdrawal Shirt;South Carolina;Ferry;Cambridgeshire;Generic Me;Rustic;data-warehouse Intelligent Saudi Riyal;2
3;Home Loan Account;Manager open-source;orange Soap;Suriname models;optical;Ports pink;Iraq Bucki;interface;3
4;Supervisor Inverse Granite;Jewelery logistical;Belize Dollar sky blue Savings Account;Sports;Personal Loan Account;primary;Sleek Cott;compressing Rustic;4
5;Wooden FTP;alarm;cross-platform Investment Account;Key mobile Direct;Licensed withdrawal Quality;markets Ex;Triple-buf;Stream withdrawal withdrawal;5
6;Points Polarised Senior;Cambridgeshire Computer;Analyst bandwidth Small Steel Computer;alarm Licensed Steel Computer Books;Buckinghamshire facilitate Green;holistic r;e-business;Awesome invoice;6
7;Gorgeous Cotton Chair Ergonomic Cambridgeshire;regional compress Personal Loan Account;Djibouti Franc Music;Money Market Account;Generic Frozen Hat Camp Principal;back-end;Wall;Investment Account;7
8;Legacy Slovenia;deposit Steel;Unbranded Savings Account;seize;Japan maximize;Response;Research;tan TCP invoice;8
9;New Taiwan Dollar;SCSI;Universal Egypt invoice;Wall;input Rhode Island Tuna;Gloves;parse user;Handmade Wooden Computer Metal;9
10;Licensed Manager Borders;copying;relationships quantify generate;array Delaware;Refined New York PNG;Keyboard O;open-sourc;circuit Engineer Intelligent;10
