id;genero;cor;modelo;marca;tamanho;produto_id
1;tan;architectures;New York Beauty Research;Investment Account Frozen magnetic;Developer;1
2;yellow unleash;Djibouti Franc generate Group;Kids optical Handcrafted Granite Shirt;THX magenta;Team-oriented Shoes feed;2
3;program Stravenue;overriding Avon B2B;Kazakhstan Bedfordshire transmitting;XML Bridge;niches;3
4;auxiliary Product;blue;RSS;Towels parse;Awesome Metal Chips Practical syndicate;4
5;Administrator Vision-oriented Infrastructure;hierarchy;Incredible Soft Pants;Handmade Cotton Pants Islands;Handcrafted Plastic Fish Solutions architect;5
6;invoice Berkshire Kids;Licensed Awesome Ergonomic Rubber Cheese;Nevada haptic;wireless Denar hack;Danish Krone;6
7;monitor leverage;pink Regional;Salad Reverse-engineered Home Loan Account;invoice Internal;New Caledonia hack;7
8;Lakes;port aggregate Kansas;Persistent;ADP;International Buckinghamshire salmon;8
9;Ohio;deploy;Prairie Data ROI;Pataca motivating;calculate Function-based Estonia;9
10;turquoise Cedi olive;compressing Handcrafted Soft Bacon;online parse indigo;synthesize;intuitive eyeballs Health;10
