id;empresa;tipo_sistema;nif;numero_validacao_agt;nome;versao;hash_code;hash_control
1;Liechtenstein Buckinghamshire monetize;Direct;Small Frozen Salad bypassing;35490;Usability;Applications Missouri deposit;Gorgeous Money Market Account;Danish Krone parse
2;neural Wooden Optimization;Tasty Rubber Car mindshare EXE;bandwidth Liaison;68803;generating SDD bypassing;Algerian Dinar Fantastic Fresh;Steel Avon Visionary;exploit transition
3;User-centric Principal Pennsylvania;repurpose Sleek;mesh system Triple-buffered;33025;supply-chains;Tools;Arizona hack;Fresh payment synthesize
4;Versatile seize;asymmetric EXE;web services;80210;Strategist;Incredible Fresh Car Tuvalu;Senior Optional Yemeni Rial;Central African Republic
5;magenta heuristic;Credit Card Account Maryland Legacy;Product;95870;Unbranded Cotton Table Generic B2B;olive;facilitate Persevering;Fantastic
6;zero defect Ridges Beauty;groupware;Credit Card Account clear-thinking Frozen;7620;Usability models New Mexico;markets Accountability EXE;Chair;drive online
7;Liaison engage navigate;Assistant generating;Practical Steel Shirt Plastic Movies;7535;New Taiwan Dollar Zimbabwe parse;Monaco input Accounts;enhance Multi-channelled purple;Response
8;white SMTP;Checking Account global Steel;Borders Springs connecting;30777;connecting Planner Refined;engage Granite Grocery;bluetooth payment digital;Rubber Industrial seamless
9;withdrawal Jamaica;International;Luxembourg Spurs;91047;middleware Switzerland;Data Granite Configuration;compress Practical Steel Chips;Berkshire concept
10;Illinois robust;Granite Rubber;enable;69766;Mouse Rupiah;Human Mission;Officer Savings Account Automated;Pants even-keeled Chair
